idx,t,x,y,heading_deg,velocity,omega,left_voltage,right_voltage
64,0.958000,84.993863,91.220219,339.613205,42.534547,-1.876665,10.025865,2.906244
65,0.968000,84.993863,91.220219,339.613205,42.592142,-2.131047,10.014236,2.987535
66,0.978000,84.993863,91.220219,339.613205,42.649738,-2.097449,10.001072,3.076492
67,0.988000,84.993863,91.220219,339.613205,42.808127,-2.181443,9.985109,3.180966
68,0.998000,84.993863,91.220219,339.613205,43.931246,-2.378229,9.966100,3.302424
69,1.008000,84.993863,91.220219,339.613205,45.961501,-2.678208,9.946234,3.427649
70,1.018000,84.993863,91.220219,339.613205,43.931246,-2.354231,9.923571,3.569044
71,1.028000,88.010318,89.958339,332.267669,41.627412,-2.037454,9.897648,3.729271
72,1.038000,88.376650,89.760652,331.026176,40.331505,-1.807070,9.867919,3.911453
73,1.048000,88.727377,89.561367,329.763068,43.787257,-2.210241,9.833728,4.119310
74,1.058000,89.103357,89.336772,328.532010,47.574185,-2.783800,9.794279,4.357348
75,1.068000,89.506648,89.084152,327.342347,43.096106,-1.749474,9.748601,4.631081
76,1.078000,89.867165,88.847879,326.178138,42.534547,-1.492693,9.695490,4.947355
77,1.088000,90.218121,88.607504,325.006110,48.092548,-2.155045,9.633246,5.325745
78,1.098000,90.218121,88.607504,325.006110,47.919760,-1.468695,9.561193,5.767415
79,1.108000,90.218121,88.607504,325.006110,46.134288,-1.065524,9.422166,6.251163
80,1.118000,90.218121,88.607504,325.006110,49.777227,-1.154317,9.123432,6.749231
81,1.128000,90.218121,88.607504,325.006110,48.582112,-1.190315,8.747576,7.304024
82,1.138000,90.218121,88.607504,325.006110,46.206283,-1.687079,8.301677,7.928859
83,1.148000,90.218121,88.607504,325.006110,47.991755,-1.562288,7.778666,8.630807
84,1.158000,92.945990,86.485745,316.688404,46.062293,-1.610284,7.172019,9.416391
85,1.168000,93.382182,86.067441,315.710233,50.684361,-0.715149,6.476652,10.290695
86,1.178000,93.725488,85.727874,314.917118,46.767843,-1.243111,5.690358,11.255926
87,1.188000,93.725488,85.727874,314.917118,48.726102,-0.604757,4.815990,12.309230
88,1.198000,94.067413,85.380736,314.215802,46.263879,-0.712749,9.157340,5.929139
89,1.208000,94.388297,85.047347,313.594321,46.091091,-0.367174,11.360307,2.575710
90,1.218000,94.704641,84.711955,313.057645,46.062293,-0.679151,11.403552,2.270309
91,1.228000,95.017839,84.374079,312.600997,49.748429,-1.912663,11.231431,2.263493
92,1.238000,95.017839,84.374079,312.600997,41.685008,-1.749474,11.046121,2.269867
93,1.248000,95.017839,84.374079,312.600997,40.043525,-2.287036,10.853950,2.283101
94,1.258000,95.017839,84.374079,312.600997,41.022655,-3.112577,10.658714,2.299399
95,1.268000,95.017839,84.374079,312.600997,45.111962,-1.586286,10.462570,2.316607
96,1.278000,95.017839,84.374079,312.600997,49.028480,-1.192714,10.266638,2.333602
97,1.288000,95.017839,84.374079,312.600997,47.415796,-1.581486,10.117164,2.369558
98,1.299000,97.082839,82.136691,309.341811,44.219226,-2.047053,10.081213,2.458295
99,1.309000,97.409195,81.732067,308.435185,46.163086,-1.703878,10.072456,2.536298
100,1.319000,97.711750,81.344679,307.545441,50.007610,-2.287036,10.064219,2.607851
101,1.329000,98.013386,80.945698,306.634282,45.817511,-1.924662,10.056038,2.676443
102,1.339000,98.283662,80.575738,305.665929,45.169557,-2.061452,10.047530,2.744794
103,1.349000,98.543776,80.206352,304.639081,45.227153,-2.296635,10.038369,2.815133
104,1.359000,98.797511,79.831695,303.576201,46.681449,-2.366230,10.028265,2.889376
105,1.369000,98.797511,79.831695,303.576201,47.113418,-2.356631,10.016944,2.969248
106,1.379000,98.797511,79.831695,303.576201,45.255951,-2.555817,10.004134,3.056408
107,1.389000,98.797511,79.831695,303.576201,45.313547,-2.661409,9.986959,3.168935
108,1.399000,98.797511,79.831695,303.576201,46.105490,-2.428626,9.969834,3.278614
109,1.409000,98.797511,79.831695,303.576201,45.385542,-2.395028,9.950507,3.400844
110,1.419000,98.797511,79.831695,303.576201,45.702319,-2.558216,9.928458,3.538707
111,1.429000,100.527310,76.910921,294.368428,46.350273,-2.647010,9.903235,3.694784
112,1.439000,100.716771,76.478309,292.933448,47.228610,-2.745403,9.874307,3.872089
113,1.449000,100.893448,76.045709,291.497408,46.724646,-2.517419,9.841036,4.074210
114,1.459000,101.060380,75.605920,290.073293,47.027024,-2.443025,9.802648,4.305474
115,1.469000,101.220063,75.151674,288.663337,48.150143,-2.462223,9.758199,4.571168
116,1.479000,101.366899,74.698611,287.251269,47.617382,-2.431025,9.706097,4.886514
117,1.489000,101.503637,74.238141,285.826665,48.034952,-2.318234,9.645905,5.256714
118,1.499000,101.503637,74.238141,285.826665,48.841294,-2.102249,9.576442,5.677152
119,1.509000,101.503637,74.238141,285.826665,47.689376,-1.540689,9.463458,6.156072
120,1.519000,101.503637,74.238141,285.826665,51.605895,-1.876665,9.189821,6.648617
121,1.529000,101.503637,74.238141,285.826665,52.426636,-1.336704,8.826735,7.190639
122,1.539000,101.503637,74.238141,285.826665,54.312901,-1.185515,8.394920,7.801391
123,1.549000,101.503637,74.238141,285.826665,49.590040,-1.646282,7.887276,8.487972
124,1.559000,101.503637,74.238141,285.826665,48.006154,-1.756674,7.297120,9.257064
125,1.569000,102.366950,70.571627,275.818375,50.828351,-1.382301,6.618989,10.114133
126,1.579000,102.413810,70.065464,274.760192,52.354642,-1.103921,5.850027,11.062031
127,1.589000,102.452759,69.543322,273.771904,49.734030,-1.103921,4.991982,12.099013
128,1.599000,102.481479,69.046768,272.848627,49.230066,-1.183115,8.100708,7.471744
129,1.609000,102.502322,68.554915,272.004485,48.135744,-1.250310,11.073070,3.032526
130,1.619000,102.515965,68.073756,271.243658,46.422267,-0.503964,11.434126,2.275817
